A/A	Name				Image		Enemies		Main Description
14	Fortress Of The Mists			ok		1		Once a training fortress for the paladins of the south, now its been overrun by outlaws isolating the kingdom of Aldor from the rest of Yeress.
15	Aldor Reign Castle			ok	 	nope		Upon entering the castle you see many militia troops come and go from the castle's warehouse. 
16	Dead Mire Swamp			ok		2		Travelers try to avoid passing through this place due to its legends from the great war. It is said that witches aligned with the necromancers and learn from them the arts of dark magic and summoning demons. The whole place gives you the feeling of dread and suffering.
17	Quag Mire Swamp			ok		2		A very gummy and dark place. From the moment you entered the swamp you feel thousands of eyes gazing towards you.	
18	Elysium Mine's Entrance		ok		2		The entrance to the mine is directly connected with Quag Mire Swamp. Upon arriving on the mine's entrance you see that it is a monster's head and on its throat a big gate made out of brances is blocking your path.
19	Elysium Mine			ok		3		Before the war dwarves maid this mine in order to mine copper, iron, mithril and other materials to support the troops in the upcoming battle. Now this mine is abandoned and you can see the skeleton of the dwarves still lying on the floor.
20	Drash Mire Swamp			ok		2		One of the three main swamps in the land of Yeress. Drash Mire Swamp is the one closest to the kingdom of Tan'leri. While wondering into the swamp you hear voices coming from the trees.
21	Plain's Of Estild			ok		2		A peaceful place which is located at the borders of the Tan'leri kingdom. Merchants from the west pass from this route often.
22	Suloild'sh Road's			ok		2		This roads was the primary route of the merchants from the west. Now it is an abandoned peacefull place due to the watch tower on the north-west that has been runsucked by bandits and outlaws.
23	Worach Watch Tower 			ok		2		The tower stands tall into the sky. While geting closer to the tower you realize that it is heavily guarded by bandits. So, you start sneaking to the gate trying not to notice you. 
24	Quekalsul	Har Ruins			ok		2		Before the great war Quekalsul Har ruins was a monastery of water mages. Now after its destruction it still holds mysteries about the creation of the clan.
25	Del'raku Oasis			ok		3		Slowly you aproach the little pond at the middle of the oasis to drink water. A pack of lions are staring at you and so you back up.
26	Tan'leri City			ok		nope		The great city of Tan'leri stands proud at the border of the Tan'leri kingdom. By entering the city you see a couple of merchants selling their stuff to the citizens and the city guards at the top of the wall's of the city observing any intruders into the kindoms from the east and from the north.
27	Orm'ray Roads			ok		3		The main roads connecting all the areas of the desert together. Even though it is close to the city of Tan'leri many beast of the desert and raiders pass from here.
28	Akrabor Ruins			ok		3		You stands at the entrance of the ruins and try to find your way through them. A strong current hits you coming from north-west. You start heading that way and at the end you find a huge gate made out of red stone.
29	Akrabor Domain			ok		2		By entering the domain you see in the horizon two huge head statues and you head through them. At the end you find a big tomb entrance filled with bats.
30	Akrabor Catacombs			ok		3		The feeling of dread and the smell of decaied corpses become more strong with every step you take down to the tombs. When you finally reached the bottom you see a big circular room with carved graves on the walls and a big pillar made out of skulls and bones.
31	Omrr Oasis			ok		2		After your journeys on the Tan'leri deserts you enter the omrr oasis to quench your thirst. You drink a sip of water and imidiatelly you feel you strenght return to you.
32	Forest of Sorrows			ok		3		A battle was held in this forest at the time of the great war, where a battalion of soldiers had to savrifice themselves in order to stop the summoning of a witch king. Thats why this place is called the forest of sorrows.
33	Oldash Maze			ok		1		Oldash maze is a maze built long before the war by the tribes of trolls. You entered the maze and after a while you riallize that everything looks the same. After many hours of searching an exit which leads to three different places, north, nort-east and north-west.
34	Belkat Docks			ok		nope		Ships come and go from this dock to bring merchantices from other lands into Yeress. You can also find here vessels to take you to the island of Oravor.
35	Aleeim Desert			ok		3		The scorching sun makes every move in the desert really difficult. After a while you find yourself at a split road which leads to south, south-west, east and north-east.
36	Ageolda Desert			ok		3		The strong sun is blinding your shight so find a temporary caving to rest and to plan you next move. After a while you realize there are only two options, the first is to return to the desert and the other to travel north-east through a nomads camp.
37	Nomads Outpost			ok		2		A big camp of nomads is located in the middle of this desert. While observing their camp you see that the guards are guarding the eastern passage from their camp.
38	Caves Of The Scortching Sun		ok		2		You stand at the entrance of the cave lighting up a torch and entering the cave. You slowly feel the heat of the desert to leave your body and the darkness surround you with every step you take into the cave.
39	Eld'ny Peak			ok		3		After a while venturing into the borders of the necromancers domain you find your self at the top of Eld'ny mountain. From here you can see the scortched land of Tan'leri the forest's and jungles of Asvor as well as the dread necromancers domain.
40	Azol' Eldar Jungle			ok		4		The middle of the continent that once was habitted by trolls. There are paths that lead to the north, south, north-west and south-west.
41	Lilen Coast				ok		4		The moon is your guide while you across the coast. The waves of the sea seems peacefull so you decide to make camp at the coast for the night.
42	Azol' Angar Jungle			ok		4		The trees in the jungle are huge thus blocking the light of the sun. There are many totems in this place each one has carvings made by the trolls hundreds years ago. 
43	Masson Tunnels			ok		3		While exiting the jungle you found a small path leading into the mountains. You cut your way through the vines and the trees that are in your path. Finally you came at the end of the path which led you to a cave entrance block by a gate with white mamouth horns.
44	Smelter of Al' Hateck			ok		2		After venturing into the depth of the cave you finally reached the end of the stairs. While observing the area you see small houses embeded into the mountain's wall and at the middle you see a big iron smelter. You quickly realize that this whole place is an underground hideout.
45	Shamans Reatreat			ok		2		After venturing into the jungle you found yourself at what seems to be small ruins. You decide to  search the ruins and after a while you find an altar. While observing the altar you see sketches on it a a sacrificial knife on its top.
46	Lake Of Enala			ok		2		You approach the lake to get some water and suddenly you feel calm and peacefull. When you finishe you filt your head towards the west and sou see the lands of scholomance, the abomination of the necromancers.
47	Passage To Ash'vor			ok		2		A small and narrow passage inside the mountains which leads to Ashvor city. At the end of the passage you see a small house for the guards who watch the road.
48	Ash'vor				ok		nope		The greate city of Ashvor stands tall at the mountains of the north. Many of the houses here are emebedded inside the mountain's rock thus making this city strong against any attacks. 
49	Hopes End Wall			ok		3		You stand in a cliff west of the wall and observe the wall. You see a big force of enemies such as skeletons, excecutionares and othe abominations making their way inside the scholomance domain. When every last of them got through the wall you slowly start approaching the gate.
50	Oravor Coast Road			ok		3		This place is full of cliffs so you slowly make your way to your destination, climbing and hicking all the way until the end of the road.
51	Village Of Scholomance		ok		4		This place once was a farmers village. When the forces of Yeress forced the necromancers back they retreated to this domain. Legend says that when they came to this place they slaughtered the villagers and some others where made as an experiment for their dark magic. Now the only thing that exists here are dead bodys and hanged skeletons.
52	Library Of Dark Arts			ok		3		The sacred library of the necromancers here they draw all their knowledge for the dark arts. You also see some glyphs of the walls and wonder what they say.
53	Scholomance Citadel			ok		3		While aproaching the gates of the citadel you feel the chill of dread and sorrow. Wispers and screams are heard all around this place while magic green fire is lighting this dreadful place. 
54	Scholomance Depths			ok		1		After venduring at the depths of the scholomance citadel you see place of tombs and graves. At the middle of the room there is a big sarcofagus and two warrior statues on either side. 
55	Torturing Chamber			ok		4		During the great war the necromancers imprisoned and tortured people in this place. You can still see the marks of blood in the walls and hear their eternal screams through out the chamber.
56	Tunnels Of Scream			ok		3		Surrounded by the darkness of the cave you vendure deep into the cave. You can hear wispers from all around the cave. Suddenly you see an exit on the east.
57	Entrance Of Lost Souls		ok		2		This entrance leads to the kingdom of scholomance the home of the necromancers. You see two huge statues on either side of the entrance while inside of it a magic ward is blocking your way.
58	Oravor West Coast			ok		nope		The beauty of the oravor island is unmatched and its mysteries also. At the time of the great war this island was captured not only by the forces of Yeress but also from the necromancers, due its unique place with the rest of the world.
59	Oravor East Coast			ok		nope		The wind makes the sea unweary and the moon is you guide on the coast. While walking towards the end of the coast you can see a fisher man with its boat counting the days catch.
60	Journeys End Island			ok		nope		This small island is constantly day and night covert in a black cloud. Legend says that the necromancers at the end of the war made a watchtower in this island to practice their magic for summoning the beast from the seas that will win them the war. Now there are only ruins and carved mysteries in this place.
61	Riorm Water Caves			ok		1		You entered the caves and surprisingly water is located in it. While observing the place you can recognize carving and symbols on the walls.
62	Elderm Courtyard			ok		1		The central home of the water mages. Before they were vanished this was a place of higher knowledge and power. Statues that depict the order of edernium are everywhere.
63	Elderm Arcane University		ok		1		You entered the abandoned university and start looking the area for clues. You find carvings and symbos on the walls that lead you into a room. At the end of a room you see a statue holding a glowing blue sphere. The bottom of the statue says "The key of the bottom less evil".
64	Scorpions Den			ok		2		This abandoned route is now infested with huge scorpions of the desert. You start slowing your pace so that you wont be noticed by the beasts.
65	E'sayiss Roads			ok		2		The strong current of the scortching desert gave this particullar shape to the rocks of this place. After a venduring into the desert you stopped to retain your powers and relax.
66	The Great Jade Sea			ok				You stand at your boat gazing upon the endless sea and then you realize there is a jade color beam ten meters south of you. You emidiately head there with your boat to examine this.
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Plains Of Hope		@	Daramish			@	north
Plains Of Hope		@	Belverus Lake		@	north-east
Plains Of Hope		@	Dead Wing Passage		@	west
Daramish			@	Plains Of Hope		@	south
Daramish			@	Belverus Lake		@	east
Belverus Lake		@	Daramish			@	west
Belverus Lake		@	Plains Of Hope		@	south-west
Belverus Lake		@	Baramish Ruins		@	south-east
Baramish Ruins		@	Belverus Lake		@	north-west
Baramish Ruins		@	Nimrod Beach		@	east
Baramish Ruins		@	Anglor Bay			@	south
Nimrod Beach		@	Baramish Ruins		@	west
Nimrod Beach		@	Anglor Bay			@	south-west
Nimrod Beach		@	Angabur Village		@	north-east
Anglor Bay			@	Baramish Ruins		@	north
Anglor Bay			@	Nimrod Beach		@	north-east
Dead Wing Passage		@	Elysium Mine's Entrance	@	north	
Dead Wing Passage		@	Quag Mire Swamp		@	west
Dead Wing Passage		@	Delta Rivers		@	south-east
Dead Wing Passage		@	Plains Of Hope		@	east
Angabur Village		@	Nimrod Beach		@	south-west
Angabur Village		@	Angabur Cemetery		@	west
Angabur Cemetery		@	Angabur Village		@	east
Angabur Cemetery		@	Angabur Tombs		@	north
Angabur Tombs		@	Oldash Maze		@	north-east	
Angabur Tombs		@	Forest of Sorrows		@	north-west
Angabur Tombs		@	Angabur Cemetery		@	south
Forest of Sorrows		@	Angabur Tombs		@	south-east
Oldash Maze		@	Angabur Tombs		@	south-west
Oldash Maze		@	Shamans Reatreat		@	north-west
Oldash Maze		@	Azol' Eldar Jungle		@	north
Oldash Maze		@	Belkat Docks		@	north-east
Shamans Reatreat		@	Oldash Maze		@	south-east
Shamans Reatreat		@	Azol' Eldar Jungle		@	north-east
Shamans Reatreat		@	Azol' Angar Jungle		@	north
Shamans Reatreat		@	Masson Tunnels		@	north-west
Azol' Eldar Jungle		@	Oldash Maze		@	south
Azol' Eldar Jungle		@	Shamans Reatreat		@	south-west
Azol' Eldar Jungle		@	Azol' Angar Jungle		@	north-west
Azol' Eldar Jungle		@	Lake Of Enala		@	north
Azol' Angar Jungle		@	Masson Tunnels		@	west
Azol' Angar Jungle		@	Shamans Reatreat		@	south
Azol' Angar Jungle		@	Azol' Eldar Jungle		@	south-east
Azol' Angar Jungle		@	Lake Of Enala		@	north-east
Masson Tunnels		@	Azol' Angar Jungle		@	east
Masson Tunnels		@	Shamans Reatreat		@	south-east
Masson Tunnels		@	Smelter of Al' Hateck		@	south
Smelter of Al' Hateck		@	Masson Tunnels		@	north
Lilen Coast			@	Belkat Docks		@	south-west
Lilen Coast			@	Lake Of Enala		@	north-west
Lake Of Enala		@	Azol' Angar Jungle		@	south-west
Lake Of Enala		@	Azol' Eldar Jungle		@	south
Lake Of Enala		@	Lilen Coast			@	south-east
Lake Of Enala		@	Passage To Ash'vor		@	east
Passage To Ash'vor		@	Lake Of Enala		@	west
Passage To Ash'vor		@	Ash'vor			@	north-east
Ash'vor			@	Passage To Ash'vor		@	south-west
Oravor Coast Road		@	Oravor West Coast		@	north	
Oravor Coast Road		@	Oravor East Coast		@	south
Delta Rivers		@	Dead Wing Passage		@	north-west
Delta Rivers		@	Aldor Ascend		@	west
Aldor Ascend		@	Delta Rivers		@	east	
Aldor Ascend		@	Aldor Summit		@	west
Aldor Summit		@	Aldor Ascend		@	east
Aldor Summit		@	Fortress Of The Mists		@	south-west
Fortress Of The Mists		@	Aldor Summit		@	north-east
Fortress Of The Mists		@	Aldor Reign Castle		@	west
Aldor Reign Castle		@	Fortress Of The Mists		@	east
Aldor Reign Castle		@	Dead Mire Swamp		@	north-east
Dead Mire Swamp		@	Aldor Reign Castle		@	south-west
Dead Mire Swamp		@	Suloild'sh Road's		@	west
Dead Mire Swamp		@	Drash Mire Swamp		@	north
Dead Mire Swamp		@	Quag Mire Swamp		@	east
Suloild'sh Road's		@	Worach Watch Tower		@	north-west
Suloild'sh Road's		@	Drash Mire Swamp		@	north-east
Suloild'sh Road's		@	Dead Mire Swamp		@	east	
Drash Mire Swamp		@	Plain's Of Estild		@	north-west	
Drash Mire Swamp		@	Suloild'sh Road's		@	south-west
Drash Mire Swamp		@	Dead Mire Swamp		@	south
Drash Mire Swamp		@	Quag Mire Swamp		@	south-east
Quag Mire Swamp		@	Drash Mire Swamp		@	north-west
Quag Mire Swamp		@	Dead Mire Swamp		@	west
Quag Mire Swamp		@	Elysium Mine's Entrance	@	east
Quag Mire Swamp		@	Dead Wing Passage		@	south-east
Elysium Mine's Entrance	@	Quag Mire Swamp		@	west
Elysium Mine's Entrance	@	Dead Wing Passage		@	south
Elysium Mine's Entrance	@	Elysium Mine		@	north
Elysium Mine		@	Elysium Mine's Entrance	@	south
Plain's Of Estild		@	Drash Mire Swamp		@	south-east
Plain's Of Estild		@	Tan'leri City		@	north-east
Tan'leri City		@	Plain's Of Estild		@	south-east
Tan'leri City		@	Del'raku Oasis		@	west
Tan'leri City		@	Orm'ray Roads		@	north
Worach Watch Tower		@	Suloild'sh Road's		@	south-east
Worach Watch Tower		@	Quekalsul	Har Ruins		@	north
Worach Watch Tower		@	Del'raku Oasis		@	north-east
Quekalsul	Har Ruins		@	Worach Watch Tower		@	south
Quekalsul	Har Ruins		@	Del'raku Oasis		@	east
Del'raku Oasis		@	Worach Watch Tower		@	south-west
Del'raku Oasis		@	Quekalsul	Har Ruins		@	west
Del'raku Oasis		@	Akrabor Ruins		@	north
Del'raku Oasis		@	Tan'leri City		@	east
Akrabor Ruins		@	Del'raku Oasis		@	south
Akrabor Ruins		@	Akrabor Domain		@	north-west
Akrabor Ruins		@	Aleeim Desert		@	north-east
Akrabor Ruins		@	Orm'ray Roads		@	east
Akrabor Domain		@	Akrabor Ruins		@	south-east
Akrabor Domain		@	Akrabor Catacombs		@	north-east
Akrabor Catacombs		@	Akrabor Domain		@	south-west
Akrabor Catacombs		@	Riorm Water Caves		@	north-west
Akrabor Catacombs		@	Elderm Courtyard		@	north
Riorm Water Caves		@	Akrabor Catacombs		@	south-east
Riorm Water Caves		@	Elderm Courtyard		@	north-east
Elderm Courtyard		@	Akrabor Catacombs		@	south
Elderm Courtyard		@	Riorm Water Caves		@	south-west
Elderm Courtyard		@	Elderm Arcane University	@	north-west
Elderm Arcane University	@	Elderm Courtyard		@	south-east
Orm'ray Roads		@	Akrabor Ruins		@	west
Orm'ray Roads		@	Aleeim Desert		@	north
Orm'ray Roads		@	Tan'leri City		@	south
Aleeim Desert		@	Akrabor Ruins		@	south-west
Aleeim Desert		@	Orm'ray Roads		@	south
Aleeim Desert		@	Omrr Oasis		@	east
Aleeim Desert		@	Ageolda Desert		@	north-east
Omrr Oasis		@	Aleeim Desert		@	west
Omrr Oasis		@	Ageolda Desert		@	north-west
Omrr Oasis		@	Caves Of The Scortching Sun	@	south-east
Omrr Oasis		@	Nomads Outpost		@	south
Nomads Outpost		@	Orm'ray Roads		@	west
Nomads Outpost		@	Omrr Oasis		@	north
Nomads Outpost		@	Caves Of The Scortching Sun	@	north-east
Caves Of The Scortching Sun	@	Nomads Outpost		@	south-west
Caves Of The Scortching Sun	@	Omrr Oasis		@	north-west
Caves Of The Scortching Sun	@	Eld'ny Peak		@	east
Eld'ny Peak		@	Caves Of The Scortching Sun	@	west
Eld'ny Peak		@	Hopes End Wall		@	north-east
Ageolda Desert		@	Aleeim Desert		@	south-west
Ageolda Desert		@	Omrr Oasis		@	south-east
Ageolda Desert		@	Scorpions Den		@	north-east
Scorpions Den		@	Ageolda Desert		@	south-west
Scorpions Den		@	E'sayiss Roads		@	north-east
E'sayiss Roads		@	Scorpions Den		@	south-west
E'sayiss Roads		@	Entrance Of Lost Souls	@	east
Entrance Of Lost Souls	@	E'sayiss Roads		@	west
Entrance Of Lost Souls	@	Tunnels Of Scream		@	south
Tunnels Of Scream		@	Entrance Of Lost Souls	@	north
Tunnels Of Scream		@	Torturing Chamber		@	east
Torturing Chamber		@	Tunnels Of Scream		@	west
Torturing Chamber		@	Scholomance Citadel		@	north-east
Scholomance Citadel		@	Torturing Chamber		@	south-west
Scholomance Citadel		@	Scholomance Depths		@	north
Scholomance Citadel		@	Village Of Scholomance	@	south-east
Scholomance Depths		@	Scholomance Citadel		@	south
Village Of Scholomance	@	Scholomance Citadel		@	north-west
Village Of Scholomance	@	Library Of Dark Arts		@	north
Village Of Scholomance	@	Hopes End Wall		@	south
Library Of Dark Arts		@	Village Of Scholomance	@	south
Hopes End Wall		@	Village Of Scholomance	@	north
Hopes End Wall		@	Eld'ny Peak		@	south-west



---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
A/A	Gate Location		Key Location		Blocking Path		Embedded		Test
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1	Angabur Cemetery		Daramish			north			ok		ok
2	Masson Tunnels		Lilen Coast			south			ok		ok	
3	Elysium Mine's Entrance	Dead Mire Swamp		north			ok		ok
4	Aldor Summit		Baramish Ruins		south-west			ok		ok
5	Akrabor Domain		Quekalsul	Har Ruins		north-east			ok		ok		
6	Elderm Courtyard		Riorm Water Caves		north-west			ok		ok
7	Entrance Of Lost Souls	Shamans Reatreat		south			ok		ok
8	Hopes End Wall		Scorpions Den		north			ok		ok
9	Scholomance Citadel		Library Of Dark Arts		north			ok		ok
10	Journeys End Island		Elderm Arcane University	south			ok		ok
11	The Great Jade Sea		Scholomance Depths		sink			ok		

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Errors													State
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1	orthografika sthn perioxh lake of enala 									ok
2	den emfanizete eikona stin perioxh lake of enala								ok
3	connections me to belkat docs										ok
4	provlima me ta connection tou worach watch tower								ok
5	provlima me ta connection tou orm'ray roads									ok
6	provlima me ta connection tou delraku oasis									ok
7	provlima me ta connection tou omrr oasis									ok	
8	loipei to east connection sto orm'ray roads									ok
9	delraku oasis kai ageolda desert exoun idia eikona								ok
10	den yparxei antikeimeno kleidh sto dark library kai porta sto scholomance citadel.					ok	
11	provlima me tis portes sto scholomance domain mporei na perasei kapios an erxete apo thn allh meria.
12	na emfanizei to description tis perioxhs meta apo sail (na epistrefei to message to description).				ok
13	na mporeis na grapseis kai se mikra grammata to onoma tis perioxhs gia sail.						ok
14	bold grammatoseira se shmeia shmantika.
15	loipoun ta connection tou oravor west cost kai oravor east coast.							ok
16	den mporei na epistrepsei apo journeys end island sto oravor east coast.						ok
17	stis perioxes me doors/gates meta apo sail na se kovei ton dromo.							ok
18	na diorthosw to process tou sink										ok
19	meta apo thn ulopoihsh twn merchant na efarmosw ta extra attribute points pou diavazwntai apo to text, sta attributes tou pexth.	ok



-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Enemies Name	@	Enemies Description										@	Enemies Area		@ 	Enemy Damage	@	Enemy Armor	@	Enemy Health	@	Max Gold Carrying	@	Exp	@	Enemy Image	@	Percentage
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Skeletal Warriors	@	Enemy encountered, While entering the area nearby dead corpses started to rise and the skeletons charged towards you.	@	Angabur Cemetery		@	15		@	12		@	55		@	49.8		@	11	@	skeletalwarriors.jpg	@	40
Skeletal Warriors	@	Enemy encountered, While entering the area nearby dead corpses started to rise and the skeletons charged towards you.	@	Angabur Tombs		@	16		@	13		@	55		@	52.8		@	12	@	skeletalwarriors.jpg	@	50
Skeletal Warriors	@	Enemy encountered, While entering the area nearby dead corpses started to rise and the skeletons charged towards you.	@	Akrabor Catacombs		@	20		@	17		@	75		@	78.3		@	18	@	skeletalwarriors.jpg	@	30
Skeletal Warriors	@	Enemy encountered, While entering the area nearby dead corpses started to rise and the skeletons charged towards you.	@	Baramish Ruins		@	14		@	12		@	55		@	40.0		@	11	@	skeletalwarriors.jpg	@	40

Nomad Rider	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Quekalsul	Har Ruins		@	19		@	25		@	80		@	107.3		@	28	@	namadrider.jpg	@	40
Nomad Rider	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Del'raku Oasis		@	19		@	25		@	80		@	107.3		@	28	@	namadrider.jpg	@	40
Nomad Rider	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Akrabor Ruins		@	19		@	25		@	80		@	107.3		@	28	@	namadrider.jpg	@	40
Nomad Rider	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Akrabor Domain		@	19		@	25		@	80		@	107.3		@	28	@	namadrider.jpg	@	40
Nomad Rider	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Orm'ray Roads		@	19		@	25		@	80		@	107.3		@	28	@	namadrider.jpg	@	40
Nomad Rider	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Omrr Oasis		@	19		@	25		@	80		@	107.3		@	28	@	namadrider.jpg	@	40
Nomad Rider	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Aleeim Desert		@	19		@	25		@	80		@	107.3		@	28	@	namadrider.jpg	@	40
Nomad Rider	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Ageolda Desert		@	19		@	25		@	80		@	107.3		@	28	@	namadrider.jpg	@	40
Nomad Rider	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Nomads Outpost		@	19		@	25		@	80		@	107.3		@	28	@	namadrider.jpg	@	60

Mountain Golem	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Quekalsul	Har Ruins		@	23		@	40		@	130		@	307.3		@	50	@	mountaingolem.jpg	@	40
Mountain Golem	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Akrabor Domain		@	23		@	40		@	130		@	307.3		@	50	@	mountaingolem.jpg	@	40
Mountain Golem	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Aleeim Desert		@	23		@	40		@	130		@	307.3		@	50	@	mountaingolem.jpg	@	40
Mountain Golem	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Ageolda Desert		@	23		@	40		@	130		@	307.3		@	50	@	mountaingolem.jpg	@	40
Mountain Golem	@	Enemy encountered, The rider whips the beast and charges towards you.					@	Scorpions Den		@	23		@	40		@	130		@	307.3		@	50	@	mountaingolem.jpg	@	40
Mountain Golem	@	Enemy encountered, The rider whips the beast and charges towards you.					@	E'sayiss Roads		@	23		@	40		@	130		@	307.3		@	50	@	mountaingolem.jpg	@	40

Fire Lizard		@	Enemy encountered, The lizard breaths fire and mesures you as a pray.					@	Worach Watch Tower		@	17		@	18		@	70		@	86.0		@	22	@	firelizard.jpg	@	60
Fire Lizard		@	Enemy encountered, The lizard breaths fire and mesures you as a pray.					@	Del'raku Oasis		@	17		@	18		@	70		@	86.0		@	22	@	firelizard.jpg	@	60
Fire Lizard		@	Enemy encountered, The lizard breaths fire and mesures you as a pray.					@	Orm'ray Roads		@	17		@	18		@	70		@	86.0		@	22	@	firelizard.jpg	@	60
Fire Lizard		@	Enemy encountered, The lizard breaths fire and mesures you as a pray.					@	Aleeim Desert		@	17		@	18		@	70		@	86.0		@	22	@	firelizard.jpg	@	60
Fire Lizard		@	Enemy encountered, The lizard breaths fire and mesures you as a pray.					@	Ageolda Desert		@	17		@	18		@	70		@	86.0		@	22	@	firelizard.jpg	@	60

Band Of Nomads	@	Enemy encountered, A band of nomads roaming the desert on their horses.					@	Akrabor Ruins		@	17		@	19		@	65		@	75.3		@	20	@	bandofnomads.jpg	@	60	
Band Of Nomads	@	Enemy encountered, A band of nomads roaming the desert on their horses.					@	Worach Watch Tower		@	17		@	19		@	65		@	75.3		@	20	@	bandofnomads.jpg	@	60
Band Of Nomads	@	Enemy encountered, A band of nomads roaming the desert on their horses.					@	Del'raku Oasis		@	17		@	19		@	65		@	75.3		@	20	@	bandofnomads.jpg	@	60
Band Of Nomads	@	Enemy encountered, A band of nomads roaming the desert on their horses.					@	Orm'ray Roads		@	17		@	19		@	65		@	75.3		@	20	@	bandofnomads.jpg	@	60
Band Of Nomads	@	Enemy encountered, A band of nomads roaming the desert on their horses.					@	Omrr Oasis		@	17		@	19		@	65		@	75.3		@	20	@	bandofnomads.jpg	@	60
Band Of Nomads	@	Enemy encountered, A band of nomads roaming the desert on their horses.					@	Nomads Outpost		@	17		@	19		@	65		@	75.3		@	20	@	bandofnomads.jpg	@	70
Band Of Nomads	@	Enemy encountered, A band of nomads roaming the desert on their horses.					@	Caves Of The Scortching Sun	@	17		@	19		@	65		@	75.3		@	20	@	bandofnomads.jpg	@	60
	
Ald'Meri Mage	@	Enemy Encountered, The mage spots you and starts casting magic missiles towards you.				@	Akrabor Ruins		@	19		@	18		@	90		@	82.2		@	29	@	aldmerimage.jpg	@	60
Ald'Meri Mage	@	Enemy Encountered, The mage spots you and starts casting magic missiles towards you.				@	Akrabor Catacombs		@	19		@	18		@	90		@	82.2		@	29	@	aldmerimage.jpg	@	60
Ald'Meri Mage	@	Enemy Encountered, The mage spots you and starts casting magic missiles towards you.				@	Elderm Courtyard		@	21		@	19		@	90		@	82.2		@	29	@	aldmerimage.jpg	@	70
Ald'Meri Mage	@	Enemy Encountered, The mage spots you and starts casting magic missiles towards you.				@	Elderm Arcane University	@	21		@	19		@	90		@	82.2		@	29	@	aldmerimage.jpg	@	70
Ald'Meri Mage	@	Enemy Encountered, The mage spots you and starts casting magic missiles towards you.				@	Scorpions Den		@	19		@	18		@	90		@	82.2		@	29	@	aldmerimage.jpg	@	60
